,id,global_mean,mean_0,mean_1,mean_2,std,std_0,std_1,std_2
0,520.0,99.6901333333,108.7059,110.362,80.0025,50.5843846061,46.0524223596,44.8871201571,54.3864417272
1,3800.0,93.9586,123.249925,92.91825,65.707625,81.2851985463,79.6848813295,74.6004743077,79.0554096306
2,3289.0,78.4129583333,80.186675,90.7757,64.2765,43.355384407,42.9513920315,40.7147140419,42.1987576565
3,2695.0,96.5790416667,105.96315,94.907525,88.86645,61.6599900185,61.4669451175,41.9175675985,75.6323724631
4,4922.0,101.820608333,128.200425,124.251325,53.010075,61.5876624032,49.3398019333,58.8972453579,43.5237748075
5,1934.0,109.708833333,134.65595,119.14155,75.329,58.5809877176,52.0012733459,49.2582791376,57.1959627858
6,3704.0,96.4605083333,109.802375,103.380575,76.198575,59.0103098936,60.616570089,49.7946336232,60.4676545185
7,4017.0,150.772325,168.472075,146.981275,136.863625,55.0464914634,52.086711071,47.9990455569,59.6012556651
8,3331.0,108.294391667,113.021075,120.44805,91.41405,77.4248047584,75.3877571682,69.6626280813,83.6218070398
9,173.0,98.628075,111.00515,106.80835,78.070725,48.7700995843,47.4379876626,45.3904904168,46.7139703191
10,2983.0,88.811375,109.07455,89.78795,67.571625,45.6736915041,44.9001318739,35.0727099722,46.362317887
11,116.0,112.8834,111.08255,123.849875,103.717775,62.0020287661,62.4940219981,55.8889419965,65.5451201391
12,4938.0,88.7200416667,105.593825,92.6226,67.9437,58.3623817054,64.027260576,45.5775067247,57.533404908
13,3524.0,151.193075,151.57105,147.560875,154.4473,43.8274797402,40.6428204225,37.468079671,51.7969340088
14,2026.0,134.981058333,143.827975,132.880775,128.234425,53.5020885843,45.9794745772,53.9724690041,58.5839975584
15,346.0,105.033758333,123.500925,127.475375,64.124975,65.870324391,64.6468827489,64.6110740787,46.3108799987
16,631.0,147.126933333,186.578575,129.397275,125.40495,79.5151032064,70.7274092977,58.9274829564,90.280246264
17,3588.0,103.1333,144.39705,135.646675,29.356175,72.6177987671,65.7184304537,48.8951253853,30.1248720225
18,3321.0,94.52915,132.376675,93.794825,57.41595,68.1857706339,67.2251775077,54.0705305894,60.7839385496
